Sequoia_ID,Season_Year,Species,Harvest_Date,How_Taken,Harvest_BMU,Harvest_County,Registration_Sex,BirthYear,Latitude,Longitude
BB21_1191,2021,Black Bear,26-Sep-21,Hunting,Gwinn,Delta,F,2019,46.2970641608,-88.66878764
BB21_1199,2021,Black Bear,2-Oct-21,Hunting,Gwinn,Delta,M,2020,47.0620061143,-88.8385794483
BB21_1200,2021,Black Bear,21-Sep-21,Hunting,Gwinn,Delta,F,2012,46.4266266438,-89.7925669701
BB21_1198,2021,Black Bear,24-Sep-21,Hunting,Gwinn,Marquette,M,2018,47.0481623284,-88.8599949201
BB21_1203,2021,Black Bear,5-Oct-21,Hunting,Carney,Menominee,M,2017,46.4994791184,-88.7314772049
BB21_1197,2021,Black Bear,27-Sep-21,Hunting,Bergland,Ontonagon,M,2018,46.4269898132,-89.0226514662
BB21_1234,2021,Black Bear,8-Oct-21,Hunting,Gwinn,Delta,M,2019,46.3967599012,-85.6247812574
BB21_1235,2021,Black Bear,12-Oct-21,Hunting,Gwinn,Marquette,M,2018,46.3967316664,-84.9376757992
BB21_1227,2021,Black Bear,7-Oct-21,Hunting,Gwinn,Delta,M,2019,46.0932663017,-85.0612119356
BB21_1229,2021,Black Bear,25-Sep-21,Hunting,Gwinn,Delta,M,2020,46.1813007526,-87.7937759196
BB21_1230,2021,Black Bear,11-Sep-21,Hunting,Carney,Menominee,M,2020,46.1080484188,-84.1865041575
BB21_1228,2021,Black Bear,4-Oct-21,Hunting,Gwinn,Dickinson,M,2018,46.1958850669,-87.9611307504
BB21_1233,2021,Black Bear,11-Oct-21,Hunting,Gwinn,Delta,M,2015,46.1948006188,-85.2062445277
BB21_1220,2021,Black Bear,29-Sep-21,Hunting,Gwinn,Marquette,F,2018,46.5136927198,-90.1664642982
BB21_1224,2021,Black Bear,25-Sep-21,Hunting,Newberry,Delta,M,2020,46.6713717365,-88.251056994
BB21_1231,2021,Black Bear,1-Oct-21,Hunting,Gwinn,Delta,M,2017,46.4846128227,-86.4383514237
BB21_1225,2021,Black Bear,1-Oct-21,Hunting,Gwinn,Alger,M,2020,46.2960682771,-85.3115706674
BB21_1222,2021,Black Bear,24-Sep-21,Hunting,Gwinn,Dickinson,M,2019,46.6289303608,-88.3354577022
BB21_1221,2021,Black Bear,26-Sep-21,Hunting,Gwinn,Marquette,F,2020,46.6431613066,-88.4391341851
BB21_1223,2021,Black Bear,25-Sep-21,Hunting,Gwinn,Delta,M,2019,46.6863216997,-88.4598850062
BB21_1214,2021,Black Bear,28-Sep-21,Hunting,Carney,Menominee,M,2020,46.6571515999,-85.9789947188
BB21_1226,2021,Black Bear,8-Sep-21,Hunting,Baraga,Ontonagon,M,2018,46.6724131758,-89.3545470646
BB21_1213,2021,Black Bear,25-Sep-21,Hunting,Gwinn,Alger,M,2020,45.9055698369,-87.1495902254
BB21_1215,2021,Black Bear,26-Sep-21,Hunting,Newberry,Delta,M,2019,45.5289965626,-87.4806909958
BB21_1219,2021,Black Bear,5-Oct-21,Hunting,Newberry,Schoolcraft,M,2019,46.5713904307,-88.6056319125
